id	nama_barang	kode_barang	merk	tipe	satuan	stok	lokasi_penyimpanan	harga_list	diskon_pembelian	harga_net	diskon_A	harga_A	diskon_B	harga_B	diskon_C	harga_C
1	64320 KWW A00	64320	AHM	REVO110	BH	0		50800	19	41148	12	44704	10	45720	9	46228
2	64440 KVL N00	64440	AHM	KVL	BH	0	NULL	0	21	0	NULL	NULL	NULL	NULL	NULL	NULL
3	64480 KWW A00	64480	AHM	REVO110	BH	0	NULL	0	21	0	NULL	NULL	NULL	NULL	NULL	NULL
4	64490 KWW A00 LH	64490	AHM	REVO110	BH	0	NULL	0	21	0	NULL	NULL	NULL	NULL	NULL	NULL
5	130270017 PISTON ENGINE	130270017	AHM		BH	0	NULL	656250	21	518438	17	544688	15	557812	13	570938
6	130950571 HOUSING	130950571	AHM		BH	0	NULL	317188	21	250579	17	263266	15	269610	13	275954
7	90214-14002 WASHER CLAW	9021414002	YMH	MIO	BH	0		24000	18	19680	13	20880	12	21120	10	21600
8	90508-26805	9050826805	YMH	A	BH	0	NULL	22000	18	18040	13	19140	12	19360	10	19800
9	52147028301 RB.BUSHR/R	52147028301	AHM	ALL	BH	0	NULL	10128	21	8001	17	8406	15	8609	13	8811
10	11241-05321-000 GASKET	1120000000000	SGP		BH	0	NULL	4600	15	3910	7	4278	5	4370	3	4462
11	09262 B28L01 N000 BEARING	09262B28L01N000	SGP		BH	0	NULL	58700	15	49895	7	54591	5	55765	3	56939
12	09263 B28034 N0B0 BEARING CRANK	09263B28034N0B0	SGP		BH	0	NULL	35300	15	30005	7	32829	5	33535	3	34241
13	BOSH GANTUNGAN MESIN 11103 KVB 901 RUB	11103KVB901	AHM	VARIO	BH	0		16500	21	13035	17	13695	15	14025	13	14355
14	11103 KVB 930 RUBBER  BUSH	11103KVB930	AHM	VARIO	BH	0		16500	21	13035	17	13695	15	14025	13	14355
15	12210 46G00 0A0 PIN CRANK	1221046G000A0	SGP	SHG	BH	0	NULL	123500	15	104975	7	114855	5	117325	3	119795
16	12211 B20G00 N0A0	12211B20G00N0A0	SGP	SHG	SET	0		50500	15	42925	7	46965	5	47975	3	48985
17	PER KLEP 12920 B30A0 N000 	12920B30A01N000	SGP	SHOGUN	SET	0		12000	15	10200	7	11160	5	11400	3	11640
